"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
2969,226,"THA","Thailand",56,"Sakon Nakhon","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E2A><U+0E01><U+0E25><U+0E19><U+0E04><U+0E23>","","Changwat","Province"
2970,226,"THA","Thailand",57,"Samut Prakan","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E2A><U+0E21><U+0E38><U+0E17><U+0E23><U+0E1B><U+0E23><U+0E32><U+0E01><U+0E32><U+0E23>","Pak Nam|Samudh Prakarn|Samudraprakar|Samut Phrakhan","Changwat","Province"
2971,226,"THA","Thailand",58,"Samut Sakhon","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E2A><U+0E21><U+0E38><U+0E17><U+0E23><U+0E2A><U+0E32><U+0E04><U+0E23>","Krokkrak Maha Chai|Mahachai|Samudrasagara","Changwat","Province"
2972,226,"THA","Thailand",59,"Samut Songkhram","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E2A><U+0E21><U+0E38><U+0E17><U+0E23><U+0E2A><U+0E07><U+0E04><U+0E23><U+0E32><U+0E21>","Mae Klong|Samudrasonggram","Changwat","Province"
2973,226,"THA","Thailand",60,"Saraburi","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E2A><U+0E23><U+0E30><U+0E1A><U+0E38><U+0E23><U+0E35>","Sara Buri","Changwat","Province"
2974,226,"THA","Thailand",61,"Satun","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E2A><U+0E15><U+0E39><U+0E25>","","Changwat","Province"
2975,226,"THA","Thailand",62,"Si Sa Ket","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E28><U+0E23><U+0E35><U+0E2A><U+0E30><U+0E40><U+0E01><U+0E29>","Sisaket|Khukhan|Khukhandh|Srisaket","Changwat","Province"
2976,226,"THA","Thailand",63,"Sing Buri","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E2A><U+0E34><U+0E07><U+0E2B><U+0E4C><U+0E1A><U+0E38><U+0E23><U+0E35>","","Changwat","Province"
2977,226,"THA","Thailand",64,"Songkhla (Songkhla Lake)","","","Water body","Lake"
2978,226,"THA","Thailand",65,"Songkhla","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E2A><U+0E07><U+0E02><U+0E25><U+0E32>","","Changwat","Province"
2979,226,"THA","Thailand",66,"Sukhothai","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E2A><U+0E38><U+0E42><U+0E02><U+0E17><U+0E31><U+0E22>","Sawankhalokt|Sukhotai|Sukothai|Svargalok","Changwat","Province"
2980,226,"THA","Thailand",67,"Suphan Buri","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E2A><U+0E38><U+0E1E><U+0E23><U+0E23><U+0E13><U+0E1A><U+0E38><U+0E23><U+0E35>","","Changwat","Province"
2981,226,"THA","Thailand",68,"Surat Thani","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E2A><U+0E38><U+0E23><U+0E32><U+0E29><U+0E0E><U+0E23><U+0E4C><U+0E18><U+0E32><U+0E19><U+0E35>","","Changwat","Province"
2982,226,"THA","Thailand",69,"Surin","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E2A><U+0E38><U+0E23><U+0E34><U+0E19><U+0E17><U+0E23><U+0E4C>","","Changwat","Province"
2983,226,"THA","Thailand",70,"Tak","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E15><U+0E32><U+0E01>","","Changwat","Province"
2984,226,"THA","Thailand",71,"Trang","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E15><U+0E23><U+0E31><U+0E07>","Tab Tiang","Changwat","Province"
2985,226,"THA","Thailand",72,"Trat","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E15><U+0E23><U+0E32><U+0E14>","","Changwat","Province"
2986,226,"THA","Thailand",73,"Ubon Ratchathani","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E2D><U+0E38><U+0E1A><U+0E25><U+0E23><U+0E32><U+0E0A><U+0E18><U+0E32><U+0E19><U+0E35>","","Changwat","Province"
2987,226,"THA","Thailand",74,"Udon Thani","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E2D><U+0E38><U+0E14><U+0E23><U+0E18><U+0E32><U+0E19><U+0E35>","","Changwat","Province"
2988,226,"THA","Thailand",75,"Uthai Thani","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E2D><U+0E38><U+0E17><U+0E31><U+0E22><U+0E18><U+0E32><U+0E19><U+0E35>","","Changwat","Province"
2989,226,"THA","Thailand",76,"Uttaradit","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E2D><U+0E38><U+0E15><U+0E23><U+0E14><U+0E34><U+0E15><U+0E16><U+0E4C>","","Changwat","Province"
2990,226,"THA","Thailand",77,"Yala","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E22><U+0E30><U+0E25><U+0E32>","","Changwat","Province"
2991,226,"THA","Thailand",78,"Yasothon","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E22><U+0E42><U+0E2A><U+0E18><U+0E23>","","Changwat","Province"
